"Season","Half","Conference","Division","Team_ID","Team_Name","Playoffs","GP","W","L","OL","T","PTS","PTS_Pct","GF","GA","SRS","SOS","RPt_Pct","ROW","RW","RgRec","RgPt_Pct"
1972,NA,NA,"West","STL","St. Louis Blues",TRUE,"78","28","39",NA,"11","67",".429","208","247","-0.46","0.04",NA,NA,NA,NA,NA
1972,NA,NA,"West","PIT","Pittsburgh Penguins",TRUE,"78","26","38",NA,"14","66",".423","220","258","-0.45","0.04",NA,NA,NA,NA,NA
1972,NA,NA,"West","PHI","Philadelphia Flyers",FALSE,"78","26","38",NA,"14","66",".423","200","236","-0.43","0.03",NA,NA,NA,NA,NA
1972,NA,NA,"West","CGS","California Golden Seals",FALSE,"78","21","39",NA,"18","60",".385","216","288","-0.86","0.07",NA,NA,NA,NA,NA
1972,NA,NA,"West","LAK","Los Angeles Kings",FALSE,"78","20","49",NA,"9","49",".314","206","305","-1.18","0.09",NA,NA,NA,NA,NA
1973,NA,NA,"East","MTL","Montreal Canadiens",TRUE,"78","52","10",NA,"16","120",".769","329","184","1.73","-0.13",NA,NA,NA,NA,NA
1973,NA,NA,"East","BOS","Boston Bruins",TRUE,"78","51","22",NA,"5","107",".686","330","235","1.14","-0.08",NA,NA,NA,NA,NA
1973,NA,NA,"East","NYR","New York Rangers",TRUE,"78","47","23",NA,"8","102",".654","297","208","1.07","-0.08",NA,NA,NA,NA,NA
1973,NA,NA,"East","BUF","Buffalo Sabres",TRUE,"78","37","27",NA,"14","88",".564","257","219","0.46","-0.03",NA,NA,NA,NA,NA
1973,NA,NA,"East","DET","Detroit Red Wings",FALSE,"78","37","29",NA,"12","86",".551","265","243","0.27","-0.02",NA,NA,NA,NA,NA
1973,NA,NA,"East","TOR","Toronto Maple Leafs",FALSE,"78","27","41",NA,"10","64",".410","247","279","-0.38","0.03",NA,NA,NA,NA,NA
1973,NA,NA,"East","VAN","Vancouver Canucks",FALSE,"78","22","47",NA,"9","53",".340","233","339","-1.26","0.10",NA,NA,NA,NA,NA
1973,NA,NA,"East","NYI","New York Islanders",FALSE,"78","12","60",NA,"6","30",".192","170","347","-2.10","0.17",NA,NA,NA,NA,NA
1973,NA,NA,"West","CBH","Chicago Black Hawks",TRUE,"78","42","27",NA,"9","93",".596","284","225","0.70","-0.05",NA,NA,NA,NA,NA
1973,NA,NA,"West","MNS","Minnesota North Stars",TRUE,"78","37","30",NA,"11","85",".545","254","230","0.29","-0.02",NA,NA,NA,NA,NA
1973,NA,NA,"West","PHI","Philadelphia Flyers",TRUE,"78","37","30",NA,"11","85",".545","296","256","0.46","-0.05",NA,NA,NA,NA,NA
1973,NA,NA,"West","STL","St. Louis Blues",TRUE,"78","32","34",NA,"12","76",".487","233","251","-0.21","0.02",NA,NA,NA,NA,NA
1973,NA,NA,"West","PIT","Pittsburgh Penguins",FALSE,"78","32","37",NA,"9","73",".468","257","265","-0.11","-0.01",NA,NA,NA,NA,NA
1973,NA,NA,"West","LAK","Los Angeles Kings",FALSE,"78","31","36",NA,"11","73",".468","232","245","-0.17","0.00",NA,NA,NA,NA,NA
1973,NA,NA,"West","ATF","Atlanta Flames",FALSE,"78","25","38",NA,"15","65",".417","191","239","-0.57","0.05",NA,NA,NA,NA,NA
1973,NA,NA,"West","CGS","California Golden Seals",FALSE,"78","16","46",NA,"16","48",".308","213","323","-1.32","0.09",NA,NA,NA,NA,NA
1974,NA,NA,"East","BOS","Boston Bruins",TRUE,"78","52","17",NA,"9","113",".724","349","221","1.55","-0.09",NA,NA,NA,NA,NA
1974,NA,NA,"East","MTL","Montreal Canadiens",TRUE,"78","45","24",NA,"9","99",".635","293","240","0.65","-0.03",NA,NA,NA,NA,NA
1974,NA,NA,"East","NYR","New York Rangers",TRUE,"78","40","24",NA,"14","94",".603","300","251","0.58","-0.05",NA,NA,NA,NA,NA
1974,NA,NA,"East","TOR","Toronto Maple Leafs",TRUE,"78","35","27",NA,"16","86",".551","274","230","0.54","-0.03",NA,NA,NA,NA,NA
1974,NA,NA,"East","BUF","Buffalo Sabres",FALSE,"78","32","34",NA,"12","76",".487","242","250","-0.11","-0.01",NA,NA,NA,NA,NA
1974,NA,NA,"East","DET","Detroit Red Wings",FALSE,"78","29","39",NA,"10","68",".436","255","319","-0.75","0.07",NA,NA,NA,NA,NA
1974,NA,NA,"East","VAN","Vancouver Canucks",FALSE,"78","24","43",NA,"11","59",".378","224","296","-0.87","0.05",NA,NA,NA,NA,NA
1974,NA,NA,"East","NYI","New York Islanders",FALSE,"78","19","41",NA,"18","56",".359","182","247","-0.78","0.05",NA,NA,NA,NA,NA
1974,NA,NA,"West","PHI","Philadelphia Flyers",TRUE,"78","50","16",NA,"12","112",".718","273","164","1.30","-0.10",NA,NA,NA,NA,NA
1974,NA,NA,"West","CBH","Chicago Black Hawks",TRUE,"78","41","14",NA,"23","105",".673","272","164","1.28","-0.11",NA,NA,NA,NA,NA
1974,NA,NA,"West","LAK","Los Angeles Kings",TRUE,"78","33","33",NA,"12","78",".500","233","231","0.03","0.00",NA,NA,NA,NA,NA
1974,NA,NA,"West","ATF","Atlanta Flames",TRUE,"78","30","34",NA,"14","74",".474","214","238","-0.28","0.03",NA,NA,NA,NA,NA
1974,NA,NA,"West","PIT","Pittsburgh Penguins",FALSE,"78","28","41",NA,"9","65",".417","242","273","-0.37","0.03",NA,NA,NA,NA,NA
1974,NA,NA,"West","STL","St. Louis Blues",FALSE,"78","26","40",NA,"12","64",".410","206","248","-0.52","0.02",NA,NA,NA,NA,NA
1974,NA,NA,"West","MNS","Minnesota North Stars",FALSE,"78","23","38",NA,"17","63",".404","235","275","-0.49","0.03",NA,NA,NA,NA,NA
1974,NA,NA,"West","CGS","California Golden Seals",FALSE,"78","13","55",NA,"10","36",".231","195","342","-1.77","0.12",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Patrick","PHI","Philadelphia Flyers",TRUE,"80","51","18",NA,"11","113",".706","293","181","1.32","-0.08",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Patrick","NYR","New York Rangers",TRUE,"80","37","29",NA,"14","88",".550","319","276","0.54","0.01",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Patrick","NYI","New York Islanders",TRUE,"80","33","25",NA,"22","88",".550","264","221","0.52","-0.01",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Patrick","ATF","Atlanta Flames",FALSE,"80","34","31",NA,"15","83",".519","243","233","0.16","0.03",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Smythe","VAN","Vancouver Canucks",TRUE,"80","38","32",NA,"10","86",".538","271","254","0.16","-0.05",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Smythe","STL","St. Louis Blues",TRUE,"80","35","31",NA,"14","84",".525","269","267","-0.01","-0.04",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Smythe","CBH","Chicago Black Hawks",TRUE,"80","37","35",NA,"8","82",".513","268","241","0.28","-0.06",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Smythe","MNS","Minnesota North Stars",FALSE,"80","23","50",NA,"7","53",".331","221","341","-1.43","0.07",NA,NA,NA,NA,NA
1975,NA,"Clarence Campbell","Smythe","KCS","Kansas City Scouts",FALSE,"80","15","54",NA,"11","41",".256","184","328","-1.71","0.09",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Adams","BUF","Buffalo Sabres",TRUE,"80","49","16",NA,"15","113",".706","354","240","1.35","-0.08",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Adams","BOS","Boston Bruins",TRUE,"80","40","26",NA,"14","94",".588","345","245","1.18","-0.07",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Adams","TOR","Toronto Maple Leafs",TRUE,"80","31","33",NA,"16","78",".488","280","309","-0.32","0.05",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Adams","CGS","California Golden Seals",FALSE,"80","19","48",NA,"13","51",".319","212","316","-1.18","0.12",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Norris","MTL","Montreal Canadiens",TRUE,"80","47","14",NA,"19","113",".706","374","225","1.72","-0.14",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Norris","LAK","Los Angeles Kings",TRUE,"80","42","17",NA,"21","105",".656","269","185","0.97","-0.08",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Norris","PIT","Pittsburgh Penguins",TRUE,"80","37","28",NA,"15","89",".556","326","289","0.42","-0.04",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Norris","DET","Detroit Red Wings",FALSE,"80","23","45",NA,"12","58",".363","259","335","-0.89","0.06",NA,NA,NA,NA,NA
1975,NA,"Prince of Wales","Norris","WSH","Washington Capitals",FALSE,"80","8","67",NA,"5","21",".131","181","446","-3.09","0.22",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Patrick","PHI","Philadelphia Flyers",TRUE,"80","51","13",NA,"16","118",".738","348","209","1.62","-0.12",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Patrick","NYI","New York Islanders",TRUE,"80","42","21",NA,"17","101",".631","297","190","1.26","-0.08",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Patrick","ATF","Atlanta Flames",TRUE,"80","35","33",NA,"12","82",".513","262","237","0.31","0.00",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Patrick","NYR","New York Rangers",FALSE,"80","29","42",NA,"9","67",".419","262","333","-0.80","0.08",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Smythe","CBH","Chicago Black Hawks",TRUE,"80","32","30",NA,"18","82",".513","254","261","-0.15","-0.06",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Smythe","VAN","Vancouver Canucks",TRUE,"80","33","32",NA,"15","81",".506","271","272","-0.08","-0.07",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Smythe","STL","St. Louis Blues",TRUE,"80","29","37",NA,"14","72",".450","249","290","-0.54","-0.03",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Smythe","MNS","Minnesota North Stars",FALSE,"80","20","53",NA,"7","47",".294","195","303","-1.32","0.03",NA,NA,NA,NA,NA
1976,NA,"Clarence Campbell","Smythe","KCS","Kansas City Scouts",FALSE,"80","12","56",NA,"12","36",".225","190","351","-1.94","0.07",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Adams","BOS","Boston Bruins",TRUE,"80","48","15",NA,"17","113",".706","313","237","0.93","-0.02",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Adams","BUF","Buffalo Sabres",TRUE,"80","46","21",NA,"13","105",".656","339","240","1.19","-0.05",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Adams","TOR","Toronto Maple Leafs",TRUE,"80","34","31",NA,"15","83",".519","294","276","0.27","0.04",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Adams","CGS","California Golden Seals",FALSE,"80","27","42",NA,"11","65",".406","250","278","-0.26","0.09",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Norris","MTL","Montreal Canadiens",TRUE,"80","58","11",NA,"11","127",".794","337","174","1.91","-0.13",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Norris","LAK","Los Angeles Kings",TRUE,"80","38","33",NA,"9","85",".531","263","265","-0.01","0.02",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Norris","PIT","Pittsburgh Penguins",TRUE,"80","35","33",NA,"12","82",".513","339","303","0.43","-0.02",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Norris","DET","Detroit Red Wings",FALSE,"80","26","44",NA,"10","62",".388","226","300","-0.85","0.08",NA,NA,NA,NA,NA
1976,NA,"Prince of Wales","Norris","WSH","Washington Capitals",FALSE,"80","11","59",NA,"10","32",".200","224","394","-1.96","0.16",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Patrick","PHI","Philadelphia Flyers",TRUE,"80","48","16",NA,"16","112",".700","323","213","1.27","-0.10",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Patrick","NYI","New York Islanders",TRUE,"80","47","21",NA,"12","106",".663","288","193","1.12","-0.07",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Patrick","ATF","Atlanta Flames",TRUE,"80","34","34",NA,"12","80",".500","264","265","-0.01","0.00",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Patrick","NYR","New York Rangers",FALSE,"80","29","37",NA,"14","72",".450","272","310","-0.43","0.04",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Smythe","STL","St. Louis Blues",TRUE,"80","32","39",NA,"9","73",".456","239","276","-0.50","-0.04",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Smythe","MNS","Minnesota North Stars",TRUE,"80","23","39",NA,"18","64",".400","240","310","-0.88","-0.01",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Smythe","CBH","Chicago Black Hawks",TRUE,"80","26","43",NA,"11","63",".394","240","298","-0.74","-0.02",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Smythe","VAN","Vancouver Canucks",FALSE,"80","25","42",NA,"13","63",".394","235","294","-0.75","-0.02",NA,NA,NA,NA,NA
1977,NA,"Clarence Campbell","Smythe","CLR","Colorado Rockies",FALSE,"80","20","46",NA,"14","54",".338","226","307","-1.01","0.00",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Adams","BOS","Boston Bruins",TRUE,"80","49","23",NA,"8","106",".663","312","240","0.87","-0.03",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Adams","BUF","Buffalo Sabres",TRUE,"80","48","24",NA,"8","104",".650","301","220","1.00","-0.02",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Adams","TOR","Toronto Maple Leafs",TRUE,"80","33","32",NA,"15","81",".506","301","285","0.23","0.03",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Adams","CLE","Cleveland Barons",FALSE,"80","25","42",NA,"13","63",".394","240","292","-0.55","0.10",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Norris","MTL","Montreal Canadiens",TRUE,"80","60","8",NA,"12","132",".825","387","171","2.54","-0.16",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Norris","LAK","Los Angeles Kings",TRUE,"80","34","31",NA,"15","83",".519","271","241","0.38","0.00",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Norris","PIT","Pittsburgh Penguins",TRUE,"80","34","33",NA,"13","81",".506","240","252","-0.11","0.04",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Norris","WSH","Washington Capitals",FALSE,"80","24","42",NA,"14","62",".388","221","307","-0.97","0.10",NA,NA,NA,NA,NA
1977,NA,"Prince of Wales","Norris","DET","Detroit Red Wings",FALSE,"80","16","55",NA,"9","41",".256","183","309","-1.44","0.14",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Patrick","NYI","New York Islanders",TRUE,"80","48","17",NA,"15","111",".694","334","210","1.47","-0.08",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Patrick","PHI","Philadelphia Flyers",TRUE,"80","45","20",NA,"15","105",".656","296","200","1.12","-0.08",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Patrick","ATF","Atlanta Flames",TRUE,"80","34","27",NA,"19","87",".544","274","252","0.28","0.00",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Patrick","NYR","New York Rangers",TRUE,"80","30","37",NA,"13","73",".456","279","280","0.02","0.04",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Smythe","CBH","Chicago Black Hawks",TRUE,"80","32","29",NA,"19","83",".519","230","220","0.05","-0.07",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Smythe","CLR","Colorado Rockies",TRUE,"80","19","40",NA,"21","59",".369","257","305","-0.62","-0.02",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Smythe","VAN","Vancouver Canucks",FALSE,"80","20","43",NA,"17","57",".356","239","320","-1.01","0.01",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Smythe","STL","St. Louis Blues",FALSE,"80","20","47",NA,"13","53",".331","195","304","-1.33","0.03",NA,NA,NA,NA,NA
1978,NA,"Clarence Campbell","Smythe","MNS","Minnesota North Stars",FALSE,"80","18","53",NA,"9","45",".281","218","325","-1.31","0.03",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Adams","BOS","Boston Bruins",TRUE,"80","51","18",NA,"11","113",".706","333","218","1.37","-0.07",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Adams","BUF","Buffalo Sabres",TRUE,"80","44","19",NA,"17","105",".656","288","215","0.90","-0.01",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Adams","TOR","Toronto Maple Leafs",TRUE,"80","41","29",NA,"10","92",".575","271","237","0.43","0.01",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Adams","CLE","Cleveland Barons",FALSE,"80","22","45",NA,"13","57",".356","230","325","-1.06","0.13",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Norris","MTL","Montreal Canadiens",TRUE,"80","59","10",NA,"11","129",".806","359","183","2.06","-0.14",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Norris","DET","Detroit Red Wings",TRUE,"80","32","34",NA,"14","78",".488","252","266","-0.15","0.02",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Norris","LAK","Los Angeles Kings",TRUE,"80","31","34",NA,"15","77",".481","243","245","-0.01","0.01",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Norris","PIT","Pittsburgh Penguins",FALSE,"80","25","37",NA,"18","68",".425","254","321","-0.77","0.07",NA,NA,NA,NA,NA
1978,NA,"Prince of Wales","Norris","WSH","Washington Capitals",FALSE,"80","17","49",NA,"14","48",".300","195","321","-1.45","0.12",NA,NA,NA,NA,NA
1979,NA,"Clarence Campbell","Patrick","NYI","New York Islanders",TRUE,"80","51","15",NA,"14","116",".725","358","214","1.76","-0.04",NA,NA,NA,NA,NA
1979,NA,"Clarence Campbell","Patrick","PHI","Philadelphia Flyers",TRUE,"80","40","25",NA,"15","95",".594","281","248","0.52","0.11",NA,NA,NA,NA,NA
1979,NA,"Clarence Campbell","Patrick","NYR","New York Rangers",TRUE,"80","40","29",NA,"11","91",".569","316","292","0.40","0.10",NA,NA,NA,NA,NA
1979,NA,"Clarence Campbell","Patrick","ATF","Atlanta Flames",TRUE,"80","41","31",NA,"8","90",".563","327","280","0.67","0.08",NA,NA,NA,NA,NA
1979,NA,"Clarence Campbell","Smythe","CBH","Chicago Black Hawks",TRUE,"80","29","36",NA,"15","73",".456","244","277","-0.54","-0.13",NA,NA,NA,NA,NA
1979,NA,"Clarence Campbell","Smythe","VAN","Vancouver Canucks",TRUE,"80","25","42",NA,"13","63",".394","217","291","-1.05","-0.12",NA,NA,NA,NA,NA
1979,NA,"Clarence Campbell","Smythe","STL","St. Louis Blues",FALSE,"80","18","50",NA,"12","48",".300","249","348","-1.29","-0.05",NA,NA,NA,NA,NA
1979,NA,"Clarence Campbell","Smythe","CLR","Colorado Rockies",FALSE,"80","15","53",NA,"12","42",".263","210","331","-1.56","-0.05",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Adams","BOS","Boston Bruins",TRUE,"80","43","23",NA,"14","100",".625","316","270","0.57","0.00",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Adams","BUF","Buffalo Sabres",TRUE,"80","36","28",NA,"16","88",".550","280","263","0.22","0.00",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Adams","TOR","Toronto Maple Leafs",TRUE,"80","34","33",NA,"13","81",".506","267","252","0.20","0.02",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Adams","MNS","Minnesota North Stars",FALSE,"80","28","40",NA,"12","68",".425","257","289","-0.40","0.00",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Norris","MTL","Montreal Canadiens",TRUE,"80","52","17",NA,"11","115",".719","337","204","1.53","-0.13",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Norris","PIT","Pittsburgh Penguins",TRUE,"80","36","31",NA,"13","85",".531","281","279","0.05","0.02",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Norris","LAK","Los Angeles Kings",TRUE,"80","34","34",NA,"12","80",".500","292","286","0.09","0.02",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Norris","WSH","Washington Capitals",FALSE,"80","24","41",NA,"15","63",".394","273","338","-0.72","0.10",NA,NA,NA,NA,NA
1979,NA,"Prince of Wales","Norris","DET","Detroit Red Wings",FALSE,"80","23","41",NA,"16","62",".388","252","295","-0.47","0.07",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Patrick","PHI","Philadelphia Flyers",TRUE,"80","48","12",NA,"20","116",".725","327","254","0.87","-0.04",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Patrick","NYI","New York Islanders",TRUE,"80","39","28",NA,"13","91",".569","281","247","0.41","-0.02",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Patrick","NYR","New York Rangers",TRUE,"80","38","32",NA,"10","86",".538","308","284","0.29","-0.01",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Patrick","ATF","Atlanta Flames",TRUE,"80","35","32",NA,"13","83",".519","282","269","0.16","-0.01",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Patrick","WSH","Washington Capitals",FALSE,"80","27","40",NA,"13","67",".419","261","293","-0.38","0.02",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Smythe","CBH","Chicago Black Hawks",TRUE,"80","34","27",NA,"19","87",".544","241","250","-0.11","0.01",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Smythe","STL","St. Louis Blues",TRUE,"80","34","34",NA,"12","80",".500","266","278","-0.14","0.01",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Smythe","VAN","Vancouver Canucks",TRUE,"80","27","37",NA,"16","70",".438","256","281","-0.30","0.02",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Smythe","EDM","Edmonton Oilers",TRUE,"80","28","39",NA,"13","69",".431","301","322","-0.25","0.01",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Smythe","WIN","Winnipeg Jets",FALSE,"80","20","49",NA,"11","51",".319","214","314","-1.19","0.06",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Smythe","WPG","Winnipeg Jets",FALSE,"80","20","49",NA,"11","51",".319","214","314","-1.19","0.06",NA,NA,NA,NA,NA
1980,NA,"Clarence Campbell","Smythe","CLR","Colorado Rockies",FALSE,"80","19","48",NA,"13","51",".319","234","308","-0.88","0.04",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Adams","BUF","Buffalo Sabres",TRUE,"80","47","17",NA,"16","110",".688","318","201","1.39","-0.07",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Adams","BOS","Boston Bruins",TRUE,"80","46","21",NA,"13","105",".656","310","234","0.91","-0.05",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Adams","MNS","Minnesota North Stars",TRUE,"80","36","28",NA,"16","88",".550","311","253","0.69","-0.04",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Adams","TOR","Toronto Maple Leafs",TRUE,"80","35","40",NA,"5","75",".469","304","327","-0.27","0.01",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Adams","QUE","Quebec Nordiques",FALSE,"80","25","44",NA,"11","61",".381","248","313","-0.77","0.04",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Norris","MTL","Montreal Canadiens",TRUE,"80","47","20",NA,"13","107",".669","328","240","1.05","-0.05",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Norris","LAK","Los Angeles Kings",TRUE,"80","30","36",NA,"14","74",".463","290","313","-0.27","0.01",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Norris","PIT","Pittsburgh Penguins",TRUE,"80","30","37",NA,"13","73",".456","251","303","-0.62","0.03",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Norris","HAR","Hartford Whalers",TRUE,"80","27","34",NA,"19","73",".456","303","312","-0.11","0.01",NA,NA,NA,NA,NA
1980,NA,"Prince of Wales","Norris","DET","Detroit Red Wings",FALSE,"80","26","43",NA,"11","63",".394","268","306","-0.45","0.02",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Patrick","NYI","New York Islanders",TRUE,"80","48","18",NA,"14","110",".688","355","260","1.13","-0.06",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Patrick","PHI","Philadelphia Flyers",TRUE,"80","41","24",NA,"15","97",".606","313","249","0.76","-0.04",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Patrick","CGY","Calgary Flames",TRUE,"80","39","27",NA,"14","92",".575","329","298","0.37","-0.02",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Patrick","NYR","New York Rangers",TRUE,"80","30","36",NA,"14","74",".463","312","317","-0.06","0.00",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Patrick","WSH","Washington Capitals",FALSE,"80","26","36",NA,"18","70",".438","286","317","-0.37","0.02",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Smythe","STL","St. Louis Blues",TRUE,"80","45","18",NA,"17","107",".669","352","281","0.85","-0.04",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Smythe","CBH","Chicago Black Hawks",TRUE,"80","31","33",NA,"16","78",".488","304","315","-0.13","0.01",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Smythe","VAN","Vancouver Canucks",TRUE,"80","28","32",NA,"20","76",".475","289","301","-0.14","0.01",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Smythe","EDM","Edmonton Oilers",TRUE,"80","29","35",NA,"16","74",".463","328","327","0.01","0.00",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Smythe","CLR","Colorado Rockies",FALSE,"80","22","45",NA,"13","57",".356","258","344","-1.02","0.05",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Smythe","WIN","Winnipeg Jets",FALSE,"80","9","57",NA,"14","32",".200","246","400","-1.83","0.09",NA,NA,NA,NA,NA
1981,NA,"Clarence Campbell","Smythe","WPG","Winnipeg Jets",FALSE,"80","9","57",NA,"14","32",".200","246","400","-1.83","0.09",NA,NA,NA,NA,NA
1981,NA,"Prince of Wales","Adams","BUF","Buffalo Sabres",TRUE,"80","39","20",NA,"21","99",".619","327","250","0.92","-0.05",NA,NA,NA,NA,NA
1981,NA,"Prince of Wales","Adams","BOS","Boston Bruins",TRUE,"80","37","30",NA,"13","87",".544","316","272","0.52","-0.03",NA,NA,NA,NA,NA
1981,NA,"Prince of Wales","Adams","MNS","Minnesota North Stars",TRUE,"80","35","28",NA,"17","87",".544","291","263","0.33","-0.02",NA,NA,NA,NA,NA
1981,NA,"Prince of Wales","Adams","QUE","Quebec Nordiques",TRUE,"80","30","32",NA,"18","78",".488","314","318","-0.05","0.00",NA,NA,NA,NA,NA
1981,NA,"Prince of Wales","Adams","TOR","Toronto Maple Leafs",TRUE,"80","28","37",NA,"15","71",".444","322","367","-0.54","0.03",NA,NA,NA,NA,NA
1981,NA,"Prince of Wales","Norris","MTL","Montreal Canadiens",TRUE,"80","45","22",NA,"13","103",".644","332","232","1.19","-0.06",NA,NA,NA,NA,NA
1981,NA,"Prince of Wales","Norris","LAK","Los Angeles Kings",TRUE,"80","43","24",NA,"13","99",".619","337","290","0.56","-0.03",NA,NA,NA,NA,NA
1981,NA,"Prince of Wales","Norris","PIT","Pittsburgh Penguins",TRUE,"80","30","37",NA,"13","73",".456","302","345","-0.51","0.03",NA,NA,NA,NA,NA
